# Planck lensing noise curves.
# These curves have been low-pass filtered.
#    ell           Noise       Sig+Noise
     668     9.32040e-07     9.52299e-07
     669     9.33250e-07     9.53465e-07
     670     9.34020e-07     9.54190e-07
     671     9.35581e-07     9.55705e-07
     672     9.36236e-07     9.56316e-07
     673     9.37441e-07     9.57476e-07
     674     9.38411e-07     9.58401e-07
     675     9.39309e-07     9.59255e-07
     676     9.40257e-07     9.60158e-07
     677     9.41250e-07     9.61107e-07
     678     9.42560e-07     9.62372e-07
     679     9.43722e-07     9.63492e-07
     680     9.44839e-07     9.64565e-07
     681     9.45920e-07     9.65602e-07
     682     9.46689e-07     9.66328e-07
     683     9.48279e-07     9.67874e-07
     684     9.49348e-07     9.68900e-07
     685     9.49884e-07     9.69394e-07
     686     9.50613e-07     9.70079e-07
     687     9.51700e-07     9.71124e-07
     688     9.52166e-07     9.71547e-07
     689     9.52763e-07     9.72101e-07
     690     9.53331e-07     9.72629e-07
     691     9.53987e-07     9.73241e-07
     692     9.55120e-07     9.74333e-07
     693     9.55722e-07     9.74893e-07
     694     9.56551e-07     9.75682e-07
     695     9.57221e-07     9.76309e-07
     696     9.58180e-07     9.77227e-07
     697     9.58300e-07     9.77306e-07
     698     9.58750e-07     9.77715e-07
     699     9.59359e-07     9.78283e-07
     700     9.59856e-07     9.78739e-07
     701     9.60449e-07     9.79292e-07
     702     9.61583e-07     9.80386e-07
     703     9.62048e-07     9.80810e-07
     704     9.62981e-07     9.81704e-07
     705     9.64671e-07     9.83352e-07
     706     9.65383e-07     9.84025e-07
     707     9.65896e-07     9.84499e-07
     708     9.66774e-07     9.85336e-07
     709     9.67293e-07     9.85816e-07
     710     9.67549e-07     9.86032e-07
     711     9.68491e-07     9.86936e-07
     712     9.68973e-07     9.87379e-07
     713     9.69228e-07     9.87595e-07
     714     9.69991e-07     9.88318e-07
     715     9.69934e-07     9.88223e-07
     716     9.70476e-07     9.88726e-07
     717     9.71729e-07     9.89941e-07
     718     9.72415e-07     9.90590e-07
     719     9.73275e-07     9.91411e-07
     720     9.73605e-07     9.91702e-07
     721     9.73890e-07     9.91949e-07
     722     9.73846e-07     9.91867e-07
     723     9.74293e-07     9.92276e-07
     724     9.74909e-07     9.92856e-07
     725     9.75221e-07     9.93131e-07
     726     9.75617e-07     9.93489e-07
