# Angular number densities per z bin ("number per bin")
# i.e., the number of galaxies per sq.deg. that have zmin<z<zmax.
# Both imaging and spectroscopic weights are included.
# The dz size is 0.01.
# 
# Columns are: redshift, dNdz (sample 1), dNdz (sample 2), dNdz (sample 3), dNdz (sample 4)
7.249999999999999778e-01 8.999999999999999320e-03 3.512000000000000011e+00 6.405999999999999694e+00 3.489999999999999769e-01
7.349999999999999867e-01 6.000000000000000125e-03 2.763999999999999790e+00 7.261999999999999567e+00 4.289999999999999925e-01
7.449999999999999956e-01 1.099999999999999936e-02 2.073999999999999844e+00 8.012000000000000455e+00 5.570000000000000506e-01
7.550000000000000044e-01 1.099999999999999936e-02 1.387999999999999901e+00 8.694000000000000838e+00 7.479999999999999982e-01
7.650000000000000133e-01 2.000000000000000042e-03 9.439999999999999503e-01 9.423000000000000043e+00 1.060000000000000053e+00
7.750000000000000222e-01 7.000000000000000146e-03 5.639999999999999458e-01 9.516000000000000014e+00 1.550999999999999934e+00
7.850000000000000311e-01 5.000000000000000104e-03 4.149999999999999800e-01 9.773999999999999133e+00 1.866999999999999993e+00
7.950000000000000400e-01 2.000000000000000042e-03 2.570000000000000062e-01 9.518000000000000682e+00 2.466000000000000192e+00
8.050000000000000488e-01 3.000000000000000062e-03 2.000000000000000111e-01 9.648999999999999133e+00 2.976999999999999869e+00
8.149999999999999467e-01 1.000000000000000021e-02 1.479999999999999927e-01 9.016000000000000014e+00 3.604999999999999982e+00
8.249999999999999556e-01 8.999999999999999320e-03 9.500000000000000111e-02 7.927999999999999936e+00 3.821000000000000174e+00
8.349999999999999645e-01 8.000000000000000167e-03 9.099999999999999756e-02 6.913999999999999702e+00 4.219999999999999751e+00
8.449999999999999734e-01 3.000000000000000062e-03 8.400000000000000522e-02 6.253000000000000114e+00 4.894999999999999574e+00
8.549999999999999822e-01 3.000000000000000062e-03 5.299999999999999850e-02 5.230999999999999872e+00 5.190999999999999837e+00
8.649999999999999911e-01 2.000000000000000042e-03 5.399999999999999939e-02 4.868000000000000327e+00 5.850999999999999979e+00
8.750000000000000000e-01 2.000000000000000042e-03 4.100000000000000172e-02 4.169999999999999929e+00 6.240999999999999659e+00
8.850000000000000089e-01 0.000000000000000000e+00 3.899999999999999994e-02 3.641000000000000014e+00 6.629999999999999893e+00
8.950000000000000178e-01 0.000000000000000000e+00 2.900000000000000147e-02 2.992999999999999883e+00 6.985999999999999766e+00
9.050000000000000266e-01 6.000000000000000125e-03 2.199999999999999872e-02 2.172000000000000153e+00 7.048000000000000043e+00
9.150000000000000355e-01 1.000000000000000021e-03 2.000000000000000042e-02 1.766999999999999904e+00 6.926000000000000156e+00
9.250000000000000444e-01 2.000000000000000042e-03 1.899999999999999953e-02 1.393999999999999906e+00 6.727999999999999758e+00
9.350000000000000533e-01 2.000000000000000042e-03 1.700000000000000122e-02 1.060000000000000053e+00 6.673000000000000043e+00
9.449999999999999512e-01 0.000000000000000000e+00 2.000000000000000042e-02 8.850000000000000089e-01 6.689000000000000057e+00
9.549999999999999600e-01 0.000000000000000000e+00 1.499999999999999944e-02 7.129999999999999671e-01 6.190000000000000391e+00
9.649999999999999689e-01 2.000000000000000042e-03 1.899999999999999953e-02 5.979999999999999760e-01 5.836999999999999744e+00
9.749999999999999778e-01 2.000000000000000042e-03 1.499999999999999944e-02 4.169999999999999818e-01 5.426999999999999602e+00
9.849999999999999867e-01 3.000000000000000062e-03 1.700000000000000122e-02 3.669999999999999929e-01 4.873999999999999666e+00
9.949999999999999956e-01 0.000000000000000000e+00 1.499999999999999944e-02 2.469999999999999973e-01 4.246999999999999886e+00
1.004999999999999893e+00 3.000000000000000062e-03 6.000000000000000125e-03 2.039999999999999869e-01 3.759999999999999787e+00
